period,ratio
2025-02-13,82.71069
2025-02-14,76.17261
2025-02-15,85.58826
2025-02-16,98.14946
2025-02-17,86.36106
2025-02-18,85.22177
2025-02-19,83.18002
2025-02-20,81.54315
2025-02-21,74.64148
2025-02-22,83.87099
2025-02-23,100.0
2025-02-24,81.4671
2025-02-25,79.44563
2025-02-26,78.37804
2025-02-27,75.90607
2025-02-28,66.19564
2025-03-01,79.32757
2025-03-02,84.70898
2025-03-03,90.38734
2025-03-04,69.92786
2025-03-05,68.80667
2025-03-06,72.4766
2025-03-07,65.96459
2025-03-08,77.12938
2025-03-09,88.65993
2025-03-10,75.37372
2025-03-11,74.66538
2025-03-12,76.54633
2025-03-13,74.66176
2025-03-14,66.03267
2025-03-15,75.21438
2025-03-16,86.88834
2025-03-17,69.8308
2025-03-18,69.29194
2025-03-19,69.99159
2025-03-20,68.58359
2025-03-21,63.84752
2025-03-22,73.16901
2025-03-23,81.45116
2025-03-24,73.08282
2025-03-25,71.03094
2025-03-26,67.54135
2025-03-27,65.56696
2025-03-28,57.76936
2025-03-29,64.91076
2025-03-30,66.82938
2025-03-31,59.58802
2025-04-01,63.73526
2025-04-02,66.54184
2025-04-03,65.94431
2025-04-04,62.38882
2025-04-05,71.12075
2025-04-06,74.70376
2025-04-07,69.12028
2025-04-08,70.23278
2025-04-09,70.59782
2025-04-10,65.06431
2025-04-11,64.3212
2025-04-12,72.42083
2025-04-13,76.92513
2025-04-14,64.2466
2025-04-15,64.07422
2025-04-16,66.86922
2025-04-17,66.8091
2025-04-18,65.61404
2025-04-19,72.98287
2025-04-20,78.96109
2025-04-21,72.31509
2025-04-22,69.07538
2025-04-23,68.51768
2025-04-24,68.21421
2025-04-25,59.12448
2025-04-26,65.96676
2025-04-27,72.45632
2025-04-28,59.969
2025-04-29,62.36202
2025-04-30,57.30292
2025-05-01,64.43491
2025-05-02,52.66173
2025-05-03,60.70487
2025-05-04,57.66289
2025-05-05,63.97572
2025-05-06,66.58675
2025-05-07,56.48158
2025-05-08,57.60639
2025-05-09,57.41518
2025-05-10,65.86899
2025-05-11,67.53338
2025-05-12,62.26352
2025-05-13,67.09592
2025-05-14,65.66257
2025-05-15,59.19184
2025-05-16,57.85554
2025-05-17,62.31349
2025-05-18,67.00176
2025-05-19,59.55978
2025-05-20,61.85647
2025-05-21,64.07205
2025-05-22,62.28597
2025-05-23,57.80629
2025-05-24,61.44001
2025-05-25,66.99959
2025-05-26,59.31642
2025-05-27,62.99504
2025-05-28,61.74348
2025-05-29,59.25341
2025-05-30,55.10907
2025-05-31,61.61384
2025-06-01,67.62102
2025-06-02,55.73485
2025-06-03,68.52348
2025-06-04,54.98015
2025-06-05,51.5094
2025-06-06,57.90624
2025-06-07,60.52669
2025-06-08,64.49937
2025-06-09,58.74931
2025-06-10,58.53492
2025-06-11,60.56942
2025-06-12,58.82246
2025-06-13,54.63612
2025-06-14,59.51053
2025-06-15,63.77799
2025-06-16,54.89396
2025-06-17,55.67111
2025-06-18,56.60761
2025-06-19,52.40388
2025-06-20,48.52536
2025-06-21,55.37199
2025-06-22,57.78601
2025-06-23,50.99081
2025-06-24,51.03934
2025-06-25,51.89109
2025-06-26,50.52365
2025-06-27,47.5483
2025-06-28,51.7571
2025-06-29,52.26844
2025-06-30,46.92035
2025-07-01,48.84766
2025-07-02,48.89329
2025-07-03,50.05214
2025-07-04,45.31752
2025-07-05,50.98284
2025-07-06,54.78966
2025-07-07,46.45392
2025-07-08,48.43989
2025-07-09,48.64559
2025-07-10,47.17023
2025-07-11,44.19271
2025-07-12,48.92589
2025-07-13,55.19526
2025-07-14,44.99159
2025-07-15,45.92447
2025-07-16,46.65961
2025-07-17,43.39528
2025-07-18,40.51699
2025-07-19,44.44549
2025-07-20,46.5995
2025-07-21,40.21279
2025-07-22,40.41269
2025-07-23,40.02665
2025-07-24,39.68189
2025-07-25,35.88159
2025-07-26,38.44699
2025-07-27,41.88226
2025-07-28,37.6119
2025-07-29,37.55613
2025-07-30,37.50181
2025-07-31,36.08294
2025-08-01,25.09198
2025-08-02,28.15496
2025-08-03,29.54848
2025-08-04,25.63084
2025-08-05,26.20013
2025-08-06,26.74406
2025-08-07,26.33484
2025-08-08,24.75664
2025-08-09,27.43068
2025-08-10,29.5282
2025-08-11,26.68105
2025-08-12,27.80224
2025-08-13,26.38989
2025-08-14,24.50169
2025-08-15,28.73077
2025-08-16,28.05429
2025-08-17,28.49393
2025-08-18,26.03354
2025-08-19,26.81939
2025-08-20,26.18999
2025-08-21,26.2559
2025-08-22,25.82205
2025-08-23,28.10644
2025-08-24,30.80221
2025-08-25,26.56661
2025-08-26,27.34811
2025-08-27,27.37491
2025-08-28,27.75371
2025-08-29,24.92539
2025-08-30,27.64797
2025-08-31,31.04267
2025-09-01,27.36332
2025-09-02,29.82515
2025-09-03,31.53083
2025-09-04,30.75658
2025-09-05,28.28895
2025-09-06,34.08682
2025-09-07,37.66404
2025-09-08,34.4381
2025-09-09,38.1609
2025-09-10,34.93351
2025-09-11,32.7527
2025-09-12,31.77637
2025-09-13,35.03853
2025-09-14,40.69444
2025-09-15,36.57473
2025-09-16,38.95906
2025-09-17,40.31057
2025-09-18,40.9559
2025-09-19,40.92258
2025-09-20,47.32523
2025-09-21,54.34061
2025-09-22,47.32305
2025-09-23,47.89089
2025-09-24,48.32908
2025-09-25,45.01912
2025-09-26,40.57203
2025-09-27,43.81536
2025-09-28,54.20589
2025-09-29,45.77309
2025-09-30,44.77865
2025-10-01,40.95011
2025-10-02,35.29347
2025-10-03,43.62125
2025-10-04,41.57733
2025-10-05,37.03971
2025-10-06,38.67659
2025-10-07,46.72842
2025-10-08,50.79091
2025-10-09,58.93255
2025-10-10,54.57528
2025-10-11,58.67181
2025-10-12,67.51528
2025-10-13,58.53492
2025-10-14,59.30918
2025-10-15,57.45719
2025-10-16,54.43477
2025-10-17,51.11032
2025-10-18,61.64281
2025-10-19,70.64417
2025-10-20,68.80232
2025-10-21,69.61062
2025-10-22,67.66448
2025-10-23,62.75168
2025-10-24,57.88741
2025-10-25,63.65703
2025-10-26,78.93212
2025-10-27,69.73882
2025-10-28,69.89961
2025-10-29,66.31804
2025-10-30,61.68047
2025-10-31,56.1897
2025-11-01,66.0305
2025-11-02,80.7305
2025-11-03,68.20334
2025-11-04,66.87646
2025-11-05,68.26781
2025-11-06,66.39481
2025-11-07,60.46585
2025-11-08,69.03916
2025-11-09,78.20132
2025-11-10,66.50201
2025-11-11,69.59976
2025-11-12,70.20019
2025-11-13,66.22461
2025-11-14,62.75168
2025-11-15,68.99716
2025-11-16,79.56224
2025-11-17,72.86916
2025-11-18,75.49685
2025-11-19,72.3752
2025-11-20,68.35037
2025-11-21,62.76617
2025-11-22,69.75403
2025-11-23,81.54387
2025-11-24,71.28226
2025-11-25,71.71683
2025-11-26,72.73444
2025-11-27,73.81435
2025-11-28,66.32891
2025-11-29,72.60625
2025-11-30,81.45768
2025-12-01,71.62123
2025-12-02,76.1755
2025-12-03,78.64602
2025-12-04,72.03769
2025-12-05,66.59617
2025-12-06,77.57843
2025-12-07,88.72222
2025-12-08,75.373
2025-12-09,39.56021
2025-12-10,0.65547
2025-12-11,0.09198
2025-12-12,0.03693
2025-12-13,0.05504
2025-12-14,0.05866
2025-12-15,0.03041
2025-12-16,0.03838
2025-12-17,0.03693
2025-12-18,0.01883
2025-12-19,0.02245
2025-12-20,0.03693
2025-12-21,0.03766
2025-12-22,0.01883
2025-12-23,0.00217
2025-12-24,0.00072
2025-12-25,0.00217
2025-12-26,0.00144
2025-12-27,0.00144
2025-12-28,0.00072
2025-12-30,0.00144
2025-12-31,0.00144
2026-01-06,0.00434
2026-01-07,0.00072
2026-01-08,0.00217
2026-01-10,0.00289
2026-01-11,0.00579
2026-01-15,0.00072
2026-01-16,0.00072
2026-01-18,0.00072
2026-01-20,0.00072
2026-01-24,0.00144
2026-01-25,0.00072
2026-01-26,0.00072
2026-01-29,0.00144
2026-01-30,0.00072
2026-01-31,0.00144
2026-02-02,0.00072
2026-02-05,0.00072
2026-02-08,0.00072
2026-02-09,0.00072
2026-02-11,0.00217
